filename,staticO0,dynamicO0,staticO1,dynamicO1,staticOz,dynamicOz,staticO2,dynamicO2,output_O0,output_O1,output_O2,output_Oz
extr_linuxdriversscsiaic94xxaic94xx_sds.c_asd_calc_flash_chksum.c,22,3584,14,1284,11,1537,78,236,29841555,29841555,29841555,29841555
extr_darknetsrcutils.c_translate_array.c,20,3071,15,1539,14,1794,56,302,,,,
extr_FFmpeglibavfiltervsrc_mptestsrc.c_mv_test.c,50,953482,31,166666,29,199563,53,38414,,,,
extr_linuxdriversgpudrmradeonr200.c_r200_get_vtx_size_0.c,92,248,75,159,75,168,133,133,9,9,9,9
extr_linuxdriversmmchostmtk-sd.c_msdc_dma_calcs.c,22,3073,15,1031,13,1285,71,359,18446744073679710316,18446744073679710316,18446744073679710316,18446744073679710316
extr_redissrchyperloglog.c_hllSigma.c,32,122,19,67,18,66,19,67,inf,inf,inf,inf
extr_os-tutorial19-interrupts-irqskernelutil.c_memory_set.c,21,3071,12,1028,10,1282,67,159,,,,
extr_raspberry-pi-osexerciseslesson044bl4ckout31srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_reactosdllwin32windowscodecsconverter.c_rgb_to_palette_index.c,66,12019,47,6651,41,6647,44,6394,3,3,3,3
extr_h2odepspicotlsdepscifrasrccurve25519.naclref.c_squeeze.c,65,1209,31,451,30,514,41,389,,,,
extr_linuxfsubifslpt.c_calc_nnode_num.c,31,5879,18,1796,16,2050,49,1427,255,255,255,255
extr_kphp-kdbstatsxstatsx-data.c_list_add_sub.c,35,1059,17,367,16,424,25,331,,,,
extr_raspberry-pi-osexerciseslesson052bl4ckout31srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_obs-studiolibobsaudio-monitoringosx....graphicsgraphics.h_gs_get_total_levels.c,26,94,18,60,12,44,16,46,7,7,7,7
extr_raspberry-pi-osexerciseslesson023rssrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_os-tutorial19-interrupts-irqskernelutil.c_memory_copy.c,21,3326,14,1284,13,1539,106,140,,,,
extr_FFmpeglibavcodecdcadec.c_ff_dca_set_channel_layout.c,91,965,45,356,43,388,52,341,8,8,8,8
extr_kphp-kdbtargtarg-data.c_do_llswap.c,43,6904,25,2311,24,2566,47,1937,,,,
extr_raspberry-pi-osexerciseslesson023H-4ND-Hsrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_raspberry-pi-osexerciseslesson041rssrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_mongooseexamplesapi_serversqlite3.c_estLog.c,20,83,17,41,14,46,17,41,8.000000,8.000000,8.000000,8.000000
extr_FFmpegtestsapiapi-flac-test.c_generate_raw_frame.c,55,1366814,53,459278,39,392976,166,200225,0,0,0,0
extr_linuxnetcephosdmap.c_calc_bits_of.c,16,81,14,49,10,47,14,49,8,8,8,8
